http://www.czce.com.cn/cn/DFSStaticFiles/Future/2022/20220818/FutureDataHolding.htm
fail



http://www.czce.com.cn/cn/DFSStaticFiles/Future/2022/20220818/FutureDataHolding.htm
fail



http://www.czce.com.cn/cn/DFSStaticFiles/Future/2022/20220817/FutureDataHolding.htm
苹果AP
2022-08-17 00:00:00
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '1', 'NAME': '海通期货', 'DATA': '26438', 'DATA_CHG': '1158'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '1', 'NAME': '国泰君安', 'DATA': '15610', 'DATA_CHG': '551'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '1', 'NAME': '海通期货', 'DATA': '13596', 'DATA_CHG': '203'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '2', 'NAME': '中信期货', 'DATA': '15314', 'DATA_CHG': '01447'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '2', 'NAME': '海通期货', 'DATA': '14043', 'DATA_CHG': '0619'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '2', 'NAME': '光大期货', 'DATA': '13351', 'DATA_CHG': '334'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '3', 'NAME': '光大期货', 'DATA': '12449', 'DATA_CHG': '1547'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '3', 'NAME': '光大期货', 'DATA': '13053', 'DATA_CHG': '287'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '3', 'NAME': '国泰君安', 'DATA': '12863', 'DATA_CHG': '0598'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '4', 'NAME': '国泰君安', 'DATA': '11873', 'DATA_CHG': '0257'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '4', 'NAME': '东证期货', 'DATA': '11821', 'DATA_CHG': '425'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '4', 'NAME': '中泰期货', 'DATA': '12584', 'DATA_CHG': '0'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '5', 'NAME': '徽商期货', 'DATA': '7913', 'DATA_CHG': '855'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '5', 'NAME': '中泰期货', 'DATA': '11098', 'DATA_CHG': '35'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '5', 'NAME': '东证期货', 'DATA': '11423', 'DATA_CHG': '326'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '6', 'NAME': '东证期货', 'DATA': '6933', 'DATA_CHG': '02448'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '6', 'NAME': '东吴期货', 'DATA': '10972', 'DATA_CHG': '267'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '6', 'NAME': '华闻期货', 'DATA': '11068', 'DATA_CHG': '0586'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '7', 'NAME': '银河期货', 'DATA': '6893', 'DATA_CHG': '914'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '7', 'NAME': '中信建投', 'DATA': '9911', 'DATA_CHG': '0102'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '7', 'NAME': '东吴期货', 'DATA': '10440', 'DATA_CHG': '30'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '8', 'NAME': '华闻期货', 'DATA': '6195', 'DATA_CHG': '0709'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '8', 'NAME': '华安期货', 'DATA': '9297', 'DATA_CHG': '53'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '8', 'NAME': '申银万国', 'DATA': '10193', 'DATA_CHG': '625'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '9', 'NAME': '中信建投', 'DATA': '6016', 'DATA_CHG': '02396'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '9', 'NAME': '华闻期货', 'DATA': '8560', 'DATA_CHG': '0839'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '9', 'NAME': '华安期货', 'DATA': '8570', 'DATA_CHG': '345'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '10', 'NAME': '申银万国', 'DATA': '6009', 'DATA_CHG': '1457'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '10', 'NAME': '中辉期货', 'DATA': '8011', 'DATA_CHG': '70'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '10', 'NAME': '中信期货', 'DATA': '8214', 'DATA_CHG': '0231'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '11', 'NAME': '华泰期货', 'DATA': '5496', 'DATA_CHG': '01518'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '11', 'NAME': '中信期货', 'DATA': '7918', 'DATA_CHG': '0623'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '11', 'NAME': '中辉期货', 'DATA': '7992', 'DATA_CHG': '125'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '12', 'NAME': '渤海期货', 'DATA': '5463', 'DATA_CHG': '01278'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '12', 'NAME': '申银万国', 'DATA': '6954', 'DATA_CHG': '330'}
{'DATE': datetime.datetime(2022, 8, 17, 0, 0), 'INSTRUMENT': '苹果AP', 'RANK_': '12', 'NAME': '永安期货', 'DATA': '6528', 'DATA_CHG': '312'}
